class,shLA,elLA,shRA,elRA
Pose 3,113.6562976,156.707724,46.1819987,133.2146918
Pose 3,111.2418482,156.3285987,46.35036389,133.6654687
Pose 3,108.6639139,156.8023494,46.70469746,134.1751551
Pose 3,106.2965078,156.9657864,47.00665169,134.753648
Pose 3,99.9487668,154.5523491,47.13090109,133.8743311
Pose 3,97.51055634,152.761207,47.38440789,132.7153183
Pose 3,95.87999052,153.0468182,47.58217748,131.6016538
Pose 3,94.50822834,153.6270809,48.06502247,130.3910891
Pose 3,92.98839869,153.1147215,48.48771964,130.6127178
Pose 3,91.477105,152.6243765,48.86096136,130.4030872
Pose 3,90.39921739,153.3944451,49.10631591,130.3125904
Pose 3,84.5839214,152.8571355,49.83277015,127.8147318
